Name,Category,Price,Quality
QuestQuest,Deportes,68808,32
DragonQuest,Deportes,38549,9
EmpireLegends,Accion,32888,80
EmpireDragon,Simulacion,42671,95
EmpireLegends,Estrategia,28142,47
QuestLegends,Accion,60022,72
LegendsGalaxy,Aventura,6531,69
LegendsQuest,RPG,60952,86
DragonQuest,Deportes,42759,62
LegendsGalaxy,Deportes,47681,0
EmpireWarrior,Deportes,1413,73
EmpireLegends,Deportes,38333,49
DragonDragon,Estrategia,24594,1
DragonDragon,Estrategia,47177,39
GalaxyGalaxy,Estrategia,61297,53
LegendsGalaxy,Aventura,11579,84
LegendsQuest,Accion,28055,79
DragonWarrior,Deportes,30720,50
WarriorGalaxy,RPG,68434,65
LegendsQuest,Simulacion,52587,42
EmpireGalaxy,Aventura,30751,34
EmpireWarrior,Accion,13402,37
LegendsGalaxy,Simulacion,55534,62
QuestGalaxy,Accion,36709,27
DragonGalaxy,Aventura,39197,12
DragonGalaxy,Simulacion,66978,27
WarriorEmpire,Estrategia,19136,22
LegendsDragon,Deportes,29232,33
DragonEmpire,Aventura,56593,13
LegendsDragon,Aventura,54620,20
WarriorEmpire,Aventura,64768,11
DragonGalaxy,RPG,46031,83
GalaxyGalaxy,Simulacion,2217,15
EmpireDragon,RPG,8060,5
LegendsDragon,Simulacion,24556,78
WarriorEmpire,Estrategia,8166,26
QuestDragon,Accion,4915,4
LegendsLegends,Estrategia,25618,41
QuestLegends,Aventura,52810,77
EmpireWarrior,Deportes,30446,43
EmpireEmpire,RPG,30846,54
DragonLegends,Simulacion,68697,38
WarriorQuest,Deportes,58338,29
WarriorGalaxy,Accion,56242,13
EmpireDragon,Deportes,27648,8
QuestWarrior,Accion,60340,63
EmpireEmpire,Aventura,60408,36
DragonDragon,Deportes,34938,74
QuestQuest,RPG,22343,90
DragonWarrior,Accion,61876,40
GalaxyDragon,Deportes,35325,64
EmpireEmpire,Deportes,24944,45
LegendsLegends,Accion,49893,63
WarriorLegends,Accion,2169,83
LegendsEmpire,Deportes,12470,59
EmpireEmpire,RPG,27495,29
WarriorEmpire,RPG,30579,80
DragonEmpire,Deportes,50088,16
DragonDragon,Deportes,30753,69
QuestLegends,Deportes,18030,55
WarriorLegends,RPG,14267,11
DragonGalaxy,RPG,46600,77
